split,scenario_id,net_id,demand_node,truth,sigma,pred_surrogate_ensemble,pred_surrogate_single,pred_mlp_no_message_passing,pred_tabular_gbt,pred_tabular_gbt_l1,pred_tabular_ridge,pred_retrieval_knn,pred_topology_heuristic,pred_constant_zero,pred_constant_train_mean
train,72,0,46,0,0.0268915,0.00372477,0.003322,0.00539076,0.00228281,0,0.0115275,1.69465e-07,0.00596506,0,0.0127829
train,72,0,47,0,0.0268844,0.00372979,0.00329262,0.00539208,0.00213047,0,0.0106528,1.75359e-07,0.00596506,0,0.0127829
train,72,0,48,0,0.0844407,0.0100773,0.00868211,0.00539435,0.0399448,0,0.0437817,1.683e-07,0.00596506,0,0.0127829
train,72,0,49,0.337515,0.15637,0.039328,0.0599709,0.00539255,0.0224794,0,0.0356015,0.337514,0.00596506,0,0.0127829
train,72,0,50,0,0.0268599,0.00372557,0.00328842,0.00539141,0.00284051,0,0.00905467,1.68794e-07,0.00596506,0,0.0127829
train,72,0,51,0.135614,0.0893996,0.011779,0.0143162,0.0053936,0.0423425,0,0.0336209,0.135614,0.00596506,0,0.0127829
train,72,0,52,0,0.0858658,0.0104921,0.00990467,0.00539624,0.00605173,0,0.054468,0.000608194,0,0,0.0127829
train,72,0,53,0,0.0268654,0.00373853,0.00332127,0.00539122,0.00183627,0,0,0.000428579,0.00596506,0,0.0127829
train,77,0,46,0,0.0270174,0.00376075,0.00330709,0.00539076,0,0,0.0481044,0,0.0278474,0,0.0127829
train,77,0,47,0,0.0886246,0.0121604,0.00996466,0.013196,0,0,0.0666812,0,0.0278474,0,0.0127829
train,77,0,48,0,0.0974896,0.0127615,0.00956879,0.00539435,0.0506222,0,0.0803586,8.87359e-07,0.0278474,0,0.0127829
train,77,0,49,0.0645153,0.190393,0.0462626,0.0444298,0.0134684,0.0843188,0,0.0916299,0.065467,0.0278474,0,0.0127829
train,77,0,50,0,0.0882906,0.0120838,0.0102626,0.0132492,0,0,0.0650831,8.23706e-05,0.0278474,0,0.0127829
train,77,0,51,0.0213872,0.124532,0.0206321,0.022804,0.0053936,0.0213075,0,0.0701978,0.0213874,0.0278474,0,0.0127829
train,77,0,52,0.268548,0.352089,0.185358,0.229902,0.00539624,0.275885,0,0.0910449,0.268548,0.0278474,0,0.0127829
train,77,0,53,0,0.0813821,0.0111361,0.00837996,0.0131468,0,0,0.0552662,0,0.0278474,0,0.0127829
train,78,0,46,0,0.0268886,0.00372436,0.00332006,0.00539076,0,0,9.73092e-05,0,0.0126896,0,0.0127829
train,78,0,47,0,0.0268497,0.00371816,0.00329343,0.00539208,0,0,0,1.80705e-09,0.0126896,0,0.0127829
train,78,0,48,0,0.0661296,0.00753035,0.00751939,0.00539435,0,0,0.0323515,1.48751e-09,0.0126896,0,0.0127829
train,78,0,49,0,0.0698476,0.00797925,0.00768213,0.00539255,0.00832482,0,0.0241713,0,0.0126896,0,0.0127829
train,78,0,50,0,0.0268404,0.00372137,0.00330316,0.00539141,0,0,0,0,0.0126896,0,0.0127829
train,78,0,51,0,0.0551075,0.00615468,0.00597544,0.0053936,0.010597,0,0.0221907,6.28334e-09,0.0126896,0,0.0127829
train,78,0,52,0,0.085856,0.0104911,0.00990368,0.00539624,0,0,0.0430379,0,0.0126896,0,0.0127829
train,78,0,53,0,0.0268802,0.00372346,0.00331775,0.00539122,0,0,0,0,0.0126896,0,0.0127829
train,81,0,46,0,0.0268913,0.00372474,0.00332189,0.00539076,0,0,0,0,0.0146619,0,0.0127829
train,81,0,47,0,0.0268468,0.00371758,0.00329391,0.00539208,0,0,0,0,0.0146619,0,0.0127829
train,81,0,48,0,0.0972851,0.0127865,0.00865003,0.00539435,0,0,0.026788,0,0.0146619,0,0.0127829
train,81,0,49,0,0.0736732,0.00853426,0.00807677,0.00539255,0.000926486,0,0.0186078,0,0.0146619,0,0.0127829
train,81,0,50,0,0.0268403,0.00372093,0.00330438,0.00539141,0,0,0,0,0.0146619,0,0.0127829
train,81,0,51,0,0.0581744,0.00643493,0.00616804,0.0053936,0.00502587,0,0.0166272,0,0.0146619,0,0.0127829
train,81,0,52,0,0.0858883,0.010494,0.00989745,0.00539624,0,0,0.0374743,0,0.0146619,0,0.0127829
train,81,0,53,0,0.0268819,0.00372406,0.0033202,0.00539122,0,0,0,0,0.0146619,0,0.0127829
