split,scenario_id,net_id,demand_node,truth,sigma,pred_surrogate_ensemble,pred_surrogate_single,pred_mlp_no_message_passing,pred_tabular_gbt,pred_tabular_ridge,pred_retrieval_knn,pred_topology_heuristic
train,8,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0.00686534,0,0.746911
train,8,0,19,0,0.231507,0.0778849,0.0712022,0.0740756,0,0.0700274,0,0.746911
train,8,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0.0193724,0,0.746911
train,8,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0.00367147,0,0.746911
train,9,0,18,0,0.231284,0.0778963,0.071269,0.0741648,0,0.0120709,0,1.24736
train,9,0,19,0.0671745,0.232303,0.0792642,0.0735647,0.073906,0,0.0263419,0.0671746,1.24736
train,9,0,20,0,0.231268,0.0779015,0.0712638,0.0742177,0,0.024578,0,1.24736
train,9,0,21,0,0.232037,0.0793316,0.0733841,0.0739373,0,0,8.22463e-08,1.24736
train,10,0,18,0,0.231799,0.0789838,0.0727373,0.0739604,0,0.0585842,0,1.18816
train,10,0,19,0,0.23156,0.0778735,0.0711824,0.0740756,0,0.0978426,2.14605e-07,1.18816
train,10,0,20,0,0.231722,0.0787967,0.072507,0.0740092,0,0.0710913,0,1.18816
train,10,0,21,0,0.231238,0.0779892,0.0712531,0.074156,0,0.0314866,0.000135964,1.18816
train,11,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0,0,1.15668
train,11,0,19,0,0.231507,0.0778849,0.0712022,0.0740756,0,0.00879058,0,1.15668
train,11,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0,0,1.15668
train,11,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0,0,1.15668
train,12,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0.022771,0,1.15668
train,12,0,19,0,0.231507,0.0778849,0.0712022,0.0740756,0,0.0859331,0,1.15668
train,12,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0.0352781,0,1.15668
train,12,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0.0195772,0,1.15668
train,13,0,18,0,0.231823,0.0790968,0.0728769,0.0739681,0,0.0254756,0,1.18816
train,13,0,19,0.100744,0.231554,0.0778745,0.0711833,0.0740756,0,0.0705609,0.100744,1.18816
train,13,0,20,0,0.231731,0.0789032,0.0726825,0.0740059,0,0.0379827,0,1.18816
train,13,0,21,0,0.231232,0.0779932,0.0712532,0.074156,0,0.00420498,3.13911e-08,1.18816
train,14,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0.0616922,0.000159043,0.4651
train,14,0,19,0.156756,0.231507,0.0778849,0.0712022,0.0740756,0,0.124854,0.155705,0.4651
train,14,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0.0741993,0.000182369,0.4651
train,14,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0.0584984,0.000189068,0.4651
train,15,0,18,0,0.231739,0.0789102,0.0725596,0.0739813,0,0.096691,0,1.18816
train,15,0,19,0.250355,0.231561,0.077876,0.0711867,0.0740756,0,0.117781,0.250355,1.18816
train,15,0,20,0,0.231626,0.0787275,0.0723976,0.0740256,0,0.109198,0,1.18816
train,15,0,21,0,0.231237,0.0779931,0.0712581,0.074156,0,0.0514254,1.06221e-07,1.18816
train,16,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0,0,1.18816
train,16,0,19,0,0.231507,0.0778849,0.0712022,0.0740756,0,0.00304626,0.000188136,1.18816
train,16,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0,0,1.18816
train,16,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0,0,1.18816
train,17,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0,0,0.4651
train,17,0,19,0,0.231507,0.0778849,0.0712022,0.0740756,0,0.0453558,4.16433e-08,0.4651
train,17,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0,0,0.4651
train,17,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0,0,0.4651
