split,name_a,name_b,mean_a,mean_b,difference,ci_lower,ci_upper,p_value,p_adjusted,effect_size,n,significant
test_id,no_message_passing.abs_error,full.abs_error,0.127318,0.129545,-0.00222695,-0.00333786,-0.000973362,1.43297e-05,2.86595e-05,-0.582512,48,True
test_id,one_hop.abs_error,full.abs_error,0.128118,0.129545,-0.00142605,-0.00173563,-0.00105281,4.04135e-07,2.02067e-06,-1.11789,48,True
test_id,two_hop.abs_error,full.abs_error,0.129545,0.129545,0,0,0,,,0,48,False
test_id,unidirectional.abs_error,full.abs_error,0.110563,0.129545,-0.0189817,-0.0217664,-0.0140107,2.15016e-06,6.45048e-06,-1.46872,48,True
test_id,no_edge_features.abs_error,full.abs_error,0.107851,0.129545,-0.021694,-0.0249243,-0.0162842,1.04817e-06,4.19268e-06,-1.49065,48,True
test_id,linear_traj_decoder.abs_error,full.abs_error,0.128885,0.129545,-0.000659372,-0.00117999,-0.000195297,1.43297e-05,2.86595e-05,-0.398225,48,True
shift_topo,no_message_passing.abs_error,full.abs_error,0.133338,0.135308,-0.00197082,-0.00271515,-0.00125863,2.59974e-07,3.77877e-07,-0.587439,80,True
shift_topo,one_hop.abs_error,full.abs_error,0.134129,0.135308,-0.00117938,-0.00148305,-0.000838193,1.25959e-07,3.77877e-07,-0.792918,80,True
shift_topo,two_hop.abs_error,full.abs_error,0.135308,0.135308,0,0,0,,,0,80,False
shift_topo,unidirectional.abs_error,full.abs_error,0.11786,0.135308,-0.0174482,-0.0207625,-0.0145268,1.07262e-08,4.29047e-08,-1.17136,80,True
shift_topo,no_edge_features.abs_error,full.abs_error,0.115436,0.135308,-0.0198727,-0.0236949,-0.01666,6.94216e-10,3.47108e-09,-1.19894,80,True
shift_topo,linear_traj_decoder.abs_error,full.abs_error,0.134706,0.135308,-0.000602844,-0.000914998,-0.000326075,1.86147e-07,3.77877e-07,-0.444427,80,True
shift_size,no_message_passing.abs_error,full.abs_error,0.131142,0.134009,-0.00286726,-0.00341654,-0.00239742,1.55554e-14,4.66662e-14,-1.28254,80,True
shift_size,one_hop.abs_error,full.abs_error,0.132414,0.134009,-0.00159587,-0.00177072,-0.0014099,1.63144e-13,1.63144e-13,-1.70981,80,True
shift_size,two_hop.abs_error,full.abs_error,0.134009,0.134009,0,0,0,,,0,80,False
shift_size,unidirectional.abs_error,full.abs_error,0.11184,0.134009,-0.0221699,-0.0228932,-0.0209544,8.18439e-15,3.8077e-14,-4.31098,80,True
shift_size,no_edge_features.abs_error,full.abs_error,0.109282,0.134009,-0.0247276,-0.0255841,-0.0233315,2.52708e-14,5.05416e-14,-4.24593,80,True
shift_size,linear_traj_decoder.abs_error,full.abs_error,0.133038,0.134009,-0.000971915,-0.00131631,-0.000680038,7.6154e-15,3.8077e-14,-0.702472,80,True
shift_type,no_message_passing.abs_error,full.abs_error,0.131006,0.132839,-0.00183259,-0.00235107,-0.000992454,2.43477e-05,7.3043e-05,-0.639083,80,True
shift_type,one_hop.abs_error,full.abs_error,0.131916,0.132839,-0.00092247,-0.00129035,-0.000346157,0.000471372,0.000471372,-0.432052,80,True
shift_type,two_hop.abs_error,full.abs_error,0.132839,0.132839,0,0,0,,,0,80,False
shift_type,unidirectional.abs_error,full.abs_error,0.117041,0.132839,-0.0157979,-0.0194081,-0.0104242,7.44006e-05,0.000148801,-0.921528,80,True
shift_type,no_edge_features.abs_error,full.abs_error,0.114643,0.132839,-0.0181956,-0.0219857,-0.0124291,1.15414e-09,5.7707e-09,-0.986069,80,True
shift_type,linear_traj_decoder.abs_error,full.abs_error,0.132293,0.132839,-0.000546091,-0.000756319,-0.000202815,6.98557e-06,2.79423e-05,-0.445168,80,True
shift_multi,no_message_passing.abs_error,full.abs_error,0.138,0.140128,-0.00212811,-0.00290387,-0.00132871,5.32069e-06,1.06414e-05,-0.537565,80,True
shift_multi,one_hop.abs_error,full.abs_error,0.139118,0.140128,-0.00100965,-0.00134004,-0.000678091,6.67619e-06,1.06414e-05,-0.624055,80,True
shift_multi,two_hop.abs_error,full.abs_error,0.140128,0.140128,0,0,0,,,0,80,False
shift_multi,unidirectional.abs_error,full.abs_error,0.124172,0.140128,-0.0159561,-0.0195021,-0.0122515,1.39928e-06,6.99642e-06,-0.937261,80,True
shift_multi,no_edge_features.abs_error,full.abs_error,0.121943,0.140128,-0.0181846,-0.0222572,-0.0142011,1.65512e-06,6.99642e-06,-0.971152,80,True
shift_multi,linear_traj_decoder.abs_error,full.abs_error,0.139469,0.140128,-0.000658955,-0.000977965,-0.000330417,3.20484e-06,9.61453e-06,-0.405708,80,True
