variant,split,params,train_seconds,best_epoch,mae,rmse,bias,r2,spearman_pooled,kendall_pooled,n,spearman_within_scenario,spearman_groups,top1_agreement,top1_groups
full,test_id,24200,1.73751,3,0.129545,0.134298,0.101863,-1.28128,0.33809,0.265245,48,0.561478,5,0.8,5
full,shift_topo,24200,1.73751,3,0.135308,0.141848,0.096813,-0.831681,0.246773,0.192798,80,0.38256,10,0.6,10
full,shift_size,24200,1.73751,3,0.134009,0.134702,0.127938,-9.24784,0.102548,0.085826,80,-0.0824786,2,0,2
full,shift_type,24200,1.73751,3,0.132839,0.147094,0.082433,-0.443317,0.475003,0.374208,80,0.469609,18,0.611111,18
full,shift_multi,24200,1.73751,3,0.140128,0.160887,0.0804094,-0.31627,0.239601,0.192055,80,0.427127,13,0.384615,13
no_message_passing,test_id,14936,0.774232,3,0.127318,0.132429,0.0983256,-1.21824,0.201159,0.159781,48,0.13164,5,0.4,5
no_message_passing,shift_topo,14936,0.774232,3,0.133338,0.14029,0.0934652,-0.791673,0.45417,0.378149,80,0.248723,10,0.4,10
no_message_passing,shift_size,14936,0.774232,3,0.131142,0.131909,0.12502,-8.82726,0.175326,0.148303,80,0.0824786,2,0,2
no_message_passing,shift_type,14936,0.774232,3,0.131006,0.145783,0.0793297,-0.417719,0.410752,0.343295,80,0.395846,18,0.611111,18
no_message_passing,shift_multi,14936,0.774232,3,0.138,0.159696,0.076624,-0.296856,0.302227,0.249471,80,0.370329,13,0.230769,13
one_hop,test_id,16232,1.18469,3,0.128118,0.132986,0.100186,-1.23692,0.339116,0.273964,48,0.601478,5,0.8,5
one_hop,shift_topo,16232,1.18469,3,0.134129,0.140835,0.0952629,-0.805616,0.117744,0.0850195,80,-0.0326876,10,0.4,10
one_hop,shift_size,16232,1.18469,3,0.132414,0.13317,0.126282,-9.01608,0.0324626,0.0277544,80,-0.247436,2,0,2
one_hop,shift_type,16232,1.18469,3,0.131916,0.146575,0.0804213,-0.433162,-0.0558916,-0.041907,80,-0.146402,18,0.166667,18
one_hop,shift_multi,16232,1.18469,3,0.139118,0.160249,0.0787805,-0.305847,0.00285523,-0.00484166,80,-0.21169,13,0.153846,13
two_hop,test_id,24200,1.7175,3,0.129545,0.134298,0.101863,-1.28128,0.33809,0.265245,48,0.561478,5,0.8,5
two_hop,shift_topo,24200,1.7175,3,0.135308,0.141848,0.096813,-0.831681,0.246773,0.192798,80,0.38256,10,0.6,10
two_hop,shift_size,24200,1.7175,3,0.134009,0.134702,0.127938,-9.24784,0.102548,0.085826,80,-0.0824786,2,0,2
two_hop,shift_type,24200,1.7175,3,0.132839,0.147094,0.082433,-0.443317,0.475003,0.374208,80,0.469609,18,0.611111,18
two_hop,shift_multi,24200,1.7175,3,0.140128,0.160887,0.0804094,-0.31627,0.239601,0.192055,80,0.427127,13,0.384615,13
unidirectional,test_id,17576,1.28941,3,0.110563,0.117867,0.079072,-0.757226,0.387568,0.311627,48,0.561478,5,0.8,5
unidirectional,shift_topo,17576,1.28941,3,0.11786,0.127362,0.0738785,-0.476665,0.216701,0.170115,80,0.288757,10,0.6,10
unidirectional,shift_size,17576,1.28941,3,0.11184,0.113327,0.105217,-6.25359,0.190777,0.159223,80,0,2,0,2
unidirectional,shift_type,17576,1.28941,3,0.117041,0.136021,0.0592301,-0.234208,0.0321813,0.0337419,80,0.0169766,18,0.277778,18
unidirectional,shift_multi,17576,1.28941,3,0.124172,0.151074,0.057203,-0.160597,0.328689,0.266064,80,0.457896,13,0.384615,13
no_edge_features,test_id,22736,1.57367,3,0.107851,0.115636,0.075911,-0.691311,0.257257,0.207268,48,0.274919,5,0.4,5
no_edge_features,shift_topo,22736,1.57367,3,0.115436,0.125328,0.0709296,-0.429882,0.370957,0.302608,80,0.237117,10,0.5,10
no_edge_features,shift_size,22736,1.57367,3,0.109282,0.110913,0.102578,-5.94781,0.148581,0.123895,80,-0.0824786,2,0,2
no_edge_features,shift_type,22736,1.57367,3,0.114643,0.134194,0.0566123,-0.201276,0.57191,0.459655,80,0.603115,18,0.666667,18
no_edge_features,shift_multi,22736,1.57367,3,0.121943,0.149626,0.0544265,-0.138461,0.314413,0.243097,80,0.43439,13,0.384615,13
linear_traj_decoder,test_id,21301,1.54537,3,0.128885,0.133718,0.100721,-1.26163,0.355143,0.285537,48,0.664758,5,1,5
linear_traj_decoder,shift_topo,21301,1.54537,3,0.134706,0.14136,0.0957461,-0.819109,0.226483,0.179188,80,0.591249,10,1,10
linear_traj_decoder,shift_size,21301,1.54537,3,0.133038,0.133743,0.126966,-9.10241,0.200994,0.167455,80,0.247436,2,0,2
linear_traj_decoder,shift_type,21301,1.54537,3,0.132293,0.146731,0.0814301,-0.436213,0.579565,0.466875,80,0.620092,18,0.611111,18
linear_traj_decoder,shift_multi,21301,1.54537,3,0.139469,0.16052,0.0791349,-0.310274,0.26054,0.21352,80,0.667103,13,0.692308,13
