network,budget_s,method,candidates_evaluated,recall_at_k,k,true_set_size
shift_0,0.05,simulator,1,0.025,10,10
shift_0,0.05,surrogate,0,0,10,10
shift_0,0.1,simulator,3,0.07,10,10
shift_0,0.1,surrogate,0,0,10,10
shift_0,0.25,simulator,8,0.105,10,10
shift_0,0.25,surrogate,0,0,10,10
shift_0,0.5,simulator,16,0.375,10,10
shift_0,0.5,surrogate,46,0.6,10,10
shift_0,1,simulator,32,0.76,10,10
shift_0,1,surrogate,46,0.6,10,10
shift_0,2,simulator,46,1,10,10
shift_0,2,surrogate,46,0.6,10,10
shift_0,5,simulator,46,1,10,10
shift_0,5,surrogate,46,0.6,10,10
shift_0,10,simulator,46,1,10,10
shift_0,10,surrogate,46,0.6,10,10
shift_1,0.05,simulator,1,0.03,10,10
shift_1,0.05,surrogate,0,0,10,10
shift_1,0.1,simulator,3,0.065,10,10
shift_1,0.1,surrogate,0,0,10,10
shift_1,0.25,simulator,8,0.18,10,10
shift_1,0.25,surrogate,0,0,10,10
shift_1,0.5,simulator,16,0.36,10,10
shift_1,0.5,surrogate,46,0.5,10,10
shift_1,1,simulator,32,0.69,10,10
shift_1,1,surrogate,46,0.5,10,10
shift_1,2,simulator,46,1,10,10
shift_1,2,surrogate,46,0.5,10,10
shift_1,5,simulator,46,1,10,10
shift_1,5,surrogate,46,0.5,10,10
shift_1,10,simulator,46,1,10,10
shift_1,10,surrogate,46,0.5,10,10
shift_2,0.05,simulator,1,0.13,10,10
shift_2,0.05,surrogate,0,0,10,10
shift_2,0.1,simulator,2,0.14,10,10
shift_2,0.1,surrogate,0,0,10,10
shift_2,0.25,simulator,6,0.15,10,10
shift_2,0.25,surrogate,0,0,10,10
shift_2,0.5,simulator,13,0.285,10,10
shift_2,0.5,surrogate,0,0,10,10
shift_2,1,simulator,26,0.595,10,10
shift_2,1,surrogate,46,0.4,10,10
shift_2,2,simulator,46,1,10,10
shift_2,2,surrogate,46,0.4,10,10
shift_2,5,simulator,46,1,10,10
shift_2,5,surrogate,46,0.4,10,10
shift_2,10,simulator,46,1,10,10
shift_2,10,surrogate,46,0.4,10,10
shift_3,0.05,simulator,1,0.03,10,10
shift_3,0.05,surrogate,0,0,10,10
shift_3,0.1,simulator,2,0.05,10,10
shift_3,0.1,surrogate,0,0,10,10
shift_3,0.25,simulator,6,0.145,10,10
shift_3,0.25,surrogate,0,0,10,10
shift_3,0.5,simulator,13,0.295,10,10
shift_3,0.5,surrogate,46,0.7,10,10
shift_3,1,simulator,26,0.56,10,10
shift_3,1,surrogate,46,0.7,10,10
shift_3,2,simulator,46,1,10,10
shift_3,2,surrogate,46,0.7,10,10
shift_3,5,simulator,46,1,10,10
shift_3,5,surrogate,46,0.7,10,10
shift_3,10,simulator,46,1,10,10
shift_3,10,surrogate,46,0.7,10,10
shift_4,0.05,simulator,1,0.12,10,10
shift_4,0.05,surrogate,0,0,10,10
shift_4,0.1,simulator,2,0.12,10,10
shift_4,0.1,surrogate,0,0,10,10
shift_4,0.25,simulator,7,0.2,10,10
shift_4,0.25,surrogate,0,0,10,10
shift_4,0.5,simulator,14,0.3,10,10
shift_4,0.5,surrogate,46,0.4,10,10
shift_4,1,simulator,29,0.645,10,10
shift_4,1,surrogate,46,0.4,10,10
shift_4,2,simulator,46,1,10,10
shift_4,2,surrogate,46,0.4,10,10
shift_4,5,simulator,46,1,10,10
shift_4,5,surrogate,46,0.4,10,10
shift_4,10,simulator,46,1,10,10
shift_4,10,surrogate,46,0.4,10,10
shift_5,0.05,simulator,1,0.11,10,10
shift_5,0.05,surrogate,0,0,10,10
shift_5,0.1,simulator,2,0.125,10,10
shift_5,0.1,surrogate,0,0,10,10
shift_5,0.25,simulator,7,0.245,10,10
shift_5,0.25,surrogate,0,0,10,10
shift_5,0.5,simulator,14,0.295,10,10
shift_5,0.5,surrogate,46,0.2,10,10
shift_5,1,simulator,29,0.6,10,10
shift_5,1,surrogate,46,0.2,10,10
shift_5,2,simulator,46,1,10,10
shift_5,2,surrogate,46,0.2,10,10
shift_5,5,simulator,46,1,10,10
shift_5,5,surrogate,46,0.2,10,10
shift_5,10,simulator,46,1,10,10
shift_5,10,surrogate,46,0.2,10,10
