split,method,interval,nominal,coverage,width,coverage_gap,n,crossing_fraction,mean_sigma,median_sigma,mean_abs_error,sigma_error_spearman,error_detection_auroc,n_high_error,ause,mean_sigma_aleatoric,mean_sigma_epistemic
train,surrogate_ensemble,gaussian,0.5,0.963542,0.0436733,0.463542,9600,,,,,,,,,,
train,surrogate_ensemble,gaussian,0.8,0.975208,0.0747656,0.175208,9600,,,,,,,,,,
train,surrogate_ensemble,gaussian,0.9,0.98125,0.0933732,0.08125,9600,,,,,,,,,,
train,surrogate_ensemble,gaussian,0.95,0.985729,0.109512,0.0357292,9600,,,,,,,,,,
train,surrogate_single_heteroscedastic,gaussian_single,0.5,0.961771,0.0414327,0.461771,9600,,,,,,,,,,
train,surrogate_single_heteroscedastic,gaussian_single,0.8,0.976562,0.0703393,0.176562,9600,,,,,,,,,,
train,surrogate_single_heteroscedastic,gaussian_single,0.9,0.98125,0.0875373,0.08125,9600,,,,,,,,,,
train,surrogate_single_heteroscedastic,gaussian_single,0.95,0.985625,0.102454,0.035625,9600,,,,,,,,,,
train,surrogate_quantile,quantile_level,0.05,0,,-0.05,9600,,,,,,,,,,
train,surrogate_quantile,quantile_level,0.5,0.760521,,0.260521,9600,,,,,,,,,,
train,surrogate_quantile,quantile_level,0.95,0.985417,,0.0354167,9600,,,,,,,,,,
train,surrogate_quantile,quantile_central,0.9,0.985417,0.120108,0.0854167,9600,0,,,,,,,,,
train,surrogate_ensemble,uncertainty_shift,,,,,9600,,0.0512178,0.0269051,0.0163553,0.928774,0.991431,1919,0.0462749,0.0510985,0.00227523
val,surrogate_ensemble,gaussian,0.5,0.955078,0.0434093,0.455078,1536,,,,,,,,,,
val,surrogate_ensemble,gaussian,0.8,0.969401,0.074456,0.169401,1536,,,,,,,,,,
val,surrogate_ensemble,gaussian,0.9,0.977214,0.0930362,0.0772135,1536,,,,,,,,,,
val,surrogate_ensemble,gaussian,0.95,0.983073,0.109152,0.0330729,1536,,,,,,,,,,
val,surrogate_single_heteroscedastic,gaussian_single,0.5,0.953776,0.0405021,0.453776,1536,,,,,,,,,,
val,surrogate_single_heteroscedastic,gaussian_single,0.8,0.971354,0.0690406,0.171354,1536,,,,,,,,,,
val,surrogate_single_heteroscedastic,gaussian_single,0.9,0.97526,0.086019,0.0752604,1536,,,,,,,,,,
val,surrogate_single_heteroscedastic,gaussian_single,0.95,0.983073,0.100745,0.0330729,1536,,,,,,,,,,
val,surrogate_quantile,quantile_level,0.05,0,,-0.05,1536,,,,,,,,,,
val,surrogate_quantile,quantile_level,0.5,0.744792,,0.244792,1536,,,,,,,,,,
val,surrogate_quantile,quantile_level,0.95,0.983073,,0.0330729,1536,,,,,,,,,,
val,surrogate_quantile,quantile_central,0.9,0.983073,0.120782,0.0830729,1536,0,,,,,,,,,
val,surrogate_ensemble,uncertainty_shift,,,,,1536,,0.0511425,0.0269349,0.0178903,0.924015,0.991291,305,0.0459202,0.0510459,0.00210836
test_id,surrogate_ensemble,gaussian,0.5,0.967448,0.044197,0.467448,1536,,,,,,,,,,
test_id,surrogate_ensemble,gaussian,0.8,0.983073,0.0756248,0.183073,1536,,,,,,,,,,
test_id,surrogate_ensemble,gaussian,0.9,0.98763,0.0944331,0.0876302,1536,,,,,,,,,,
test_id,surrogate_ensemble,gaussian,0.95,0.990234,0.110746,0.0402344,1536,,,,,,,,,,
test_id,surrogate_single_heteroscedastic,gaussian_single,0.5,0.96875,0.0415349,0.46875,1536,,,,,,,,,,
test_id,surrogate_single_heteroscedastic,gaussian_single,0.8,0.983724,0.0704905,0.183724,1536,,,,,,,,,,
test_id,surrogate_single_heteroscedastic,gaussian_single,0.9,0.986328,0.0877124,0.0863281,1536,,,,,,,,,,
test_id,surrogate_single_heteroscedastic,gaussian_single,0.95,0.990234,0.10265,0.0402344,1536,,,,,,,,,,
test_id,surrogate_quantile,quantile_level,0.05,0,,-0.05,1536,,,,,,,,,,
test_id,surrogate_quantile,quantile_level,0.5,0.75,,0.25,1536,,,,,,,,,,
test_id,surrogate_quantile,quantile_level,0.95,0.985677,,0.0356771,1536,,,,,,,,,,
test_id,surrogate_quantile,quantile_central,0.9,0.985677,0.121303,0.0856771,1536,0,,,,,,,,,
test_id,surrogate_ensemble,uncertainty_shift,,,,,1536,,0.0517704,0.0269338,0.0153357,0.940152,0.992458,307,0.0323429,0.0516572,0.00230995
shift_topo,surrogate_ensemble,gaussian,0.5,0.951389,0.0442233,0.451389,1584,,,,,,,,,,
shift_topo,surrogate_ensemble,gaussian,0.8,0.971591,0.0757234,0.171591,1584,,,,,,,,,,
shift_topo,surrogate_ensemble,gaussian,0.9,0.979798,0.094575,0.079798,1584,,,,,,,,,,
shift_topo,surrogate_ensemble,gaussian,0.95,0.987374,0.110926,0.0373737,1584,,,,,,,,,,
shift_topo,surrogate_single_heteroscedastic,gaussian_single,0.5,0.950126,0.0420505,0.450126,1584,,,,,,,,,,
shift_topo,surrogate_single_heteroscedastic,gaussian_single,0.8,0.97096,0.0714083,0.17096,1584,,,,,,,,,,
shift_topo,surrogate_single_heteroscedastic,gaussian_single,0.9,0.979798,0.0888693,0.079798,1584,,,,,,,,,,
shift_topo,surrogate_single_heteroscedastic,gaussian_single,0.95,0.987374,0.104014,0.0373737,1584,,,,,,,,,,
shift_topo,surrogate_quantile,quantile_level,0.05,0,,-0.05,1584,,,,,,,,,,
shift_topo,surrogate_quantile,quantile_level,0.5,0.700126,,0.200126,1584,,,,,,,,,,
shift_topo,surrogate_quantile,quantile_level,0.95,0.984848,,0.0348485,1584,,,,,,,,,,
shift_topo,surrogate_quantile,quantile_central,0.9,0.984848,0.123138,0.0848485,1584,0,,,,,,,,,
shift_topo,surrogate_ensemble,uncertainty_shift,,,,,1584,,0.0518895,0.026978,0.0176492,0.894691,0.981942,313,0.0577497,0.0517456,0.00237879
shift_size,surrogate_ensemble,gaussian,0.5,0.960938,0.0496897,0.460938,3200,,,,,,,,,,
shift_size,surrogate_ensemble,gaussian,0.8,0.974688,0.0847855,0.174687,3200,,,,,,,,,,
shift_size,surrogate_ensemble,gaussian,0.9,0.98125,0.105789,0.08125,3200,,,,,,,,,,
shift_size,surrogate_ensemble,gaussian,0.95,0.984375,0.124006,0.034375,3200,,,,,,,,,,
