network,node,tier,truth,surrogate,tabular_gbt,tabular_gbt_l1,tabular_ridge,topology_heuristic,sole_source_reach,downstream_reach
shift_0,0,0,0.0421527,0.0300004,0.0256825,0,0.0148546,1.95669,0,8
shift_0,1,0,0,0.0300004,0,0,0,0,0,0
shift_0,2,0,0,0.0300004,0,0,0.0251773,1.75409,0,8
shift_0,3,0,0,0.0300004,0,0,0.00262749,1.83261,0,8
shift_0,4,0,0,0.0300004,0,0,0.00245875,1.5736,0,8
shift_0,5,0,0,0.0300004,0,0,0.0165368,1.84171,0,8
shift_0,6,0,0.0493062,0.0300004,0,0,0.0275099,2.02035,0,8
shift_0,7,0,0.0841059,0.0300004,0,0,0.017399,1.73787,0,8
shift_0,8,0,0.00223698,0.0300004,0,0,0.0159331,1.75933,0,8
shift_0,9,0,0,0.0300004,0,0,0.0273254,2.05236,0,8
shift_0,10,0,0.00339132,0.0300004,0,0,0.0217512,1.91327,0,8
shift_0,11,0,0.260747,0.0300004,0,0,0.0248536,2.27451,0,8
shift_0,12,0,0,0.0300004,0,0,0.022553,1.80087,0,8
shift_0,13,0,0,0.0300004,0,0,0,0,0,0
shift_0,14,0,0.0141398,0.0300004,0,0,0.0630272,2.1466,0,8
shift_0,15,0,0.267287,0.0300004,0,0,0.0160389,1.6507,0,8
shift_0,16,1,0,0.0300004,0,0,0,0,0,0
shift_0,17,1,0.147254,0.0300004,0,0,0.0220241,2.46535,0,8
shift_0,18,1,0,0.0300004,0,0,0,0,0,0
shift_0,19,1,0.284747,0.0300005,0,0,0.0230399,4.08862,1,8
shift_0,20,1,0.2219,0.0300007,0,0,0.0233868,4.06252,1,8
shift_0,21,1,0.00307913,0.0300004,0,0,0.00306205,1.27658,0,8
shift_0,22,1,0,0.0300004,0,0,0,0,0,0
shift_0,23,1,0.192728,0.0300004,0,0,0.00927677,1.80267,0,8
shift_0,24,1,0.328344,0.0300004,0.203587,0,0.0070463,1.58232,0,8
shift_0,25,1,0.219436,0.0300004,0,0,0.012618,2.13454,0,8
shift_0,26,1,0,0.0300004,0,0,0.00302841,1.48659,0,7
shift_0,27,1,0.197523,0.0300004,0,0,0.0197225,2.11364,0,8
shift_0,28,1,0,0.0300004,0,0,0.0175283,1.9543,0,8
shift_0,29,1,0.287126,0.0300004,0,0,0.0192833,1.83616,0,8
shift_0,30,2,0.35659,0.0300009,0,0,0.00244824,1.3616,0,5
shift_0,31,2,0.230744,0.0300013,0,0,0.0137757,2.2307,0,8
shift_0,32,2,0,0.0300003,0,0,0.00341031,0.899456,0,6
shift_0,33,2,0.0957516,0.030002,0,0,0.00618916,1.16772,0,8
shift_0,34,2,0,0.0300003,0,0,0,1.30187,0,6
shift_0,35,2,0.16378,0.0300005,0,0,0.0192871,3.93881,1,8
shift_0,36,2,0,0.0300004,0,0,0,0,0,0
shift_0,37,2,0.0472709,0.0300004,0,0,0.00871451,4.09233,1,7
shift_0,38,2,0.456562,0.0300011,0.00186741,0,0.0121027,2.03916,0,8
shift_0,39,2,0.608703,0.0300006,0,0,0.0187794,5.03275,1,8
shift_0,40,3,0.0519054,0.0300121,0,0,0.0106717,5.17719,1,7
shift_0,41,3,0,0.0299985,0,0,0.00011525,3.79176,1,6
shift_0,42,3,0,0.0300061,0.0107304,0,0.000565154,0.720894,0,3
shift_0,43,3,0.692517,0.0300427,0,0,0.00724578,4.36534,1,5
shift_0,44,3,0.106094,0.0299885,0,0,0.00608203,1.12827,0,5
shift_0,45,3,0,0.0299971,0.177189,0,0.0107908,3.25731,1,6
shift_1,0,0,0,0.0299946,0,0,0.0220071,2.01801,0,8
shift_1,1,0,0,0.0299946,0,0,0,1.34406,0,7
shift_1,2,0,0,0.0299946,0.225247,0,0,0,0,0
shift_1,3,0,0,0.0299946,0,0,0.0368495,2.25708,0,8
shift_1,4,0,0,0.0299946,0,0,0.0315948,2.20554,0,8
shift_1,5,0,0,0.0299946,0,0,0.0541984,2.53095,0,8
shift_1,6,0,0,0.0299946,0.018438,0,0.0441437,2.10775,0,8
shift_1,7,0,0,0.0299946,0,0,0.0449912,5.26929,2,8
shift_1,8,0,0.0728612,0.0299946,0,0,0.0582143,2.38287,0,8
shift_1,9,0,0,0.0299946,0,0,0.0165589,2.21512,0,8
shift_1,10,0,0,0.0299946,0,0,0.000252836,1.36527,0,7
shift_1,11,0,0.0310207,0.0299946,0,0,0.0774342,2.60864,0,8
shift_1,12,0,0,0.0299946,0,0,0.0519544,2.06126,0,8
shift_1,13,0,0,0.0299946,0,0,0,0,0,0
shift_1,14,0,0,0.0299946,0,0,0.0619178,2.29015,0,8
shift_1,15,0,0,0.0299946,0,0,0.083359,2.56482,0,8
shift_1,16,1,0.398435,0.0299946,0,0,0.0757436,5.96403,2,8
shift_1,17,1,0,0.0299946,0,0,0.0212359,1.7741,0,7
shift_1,18,1,0,0.0299946,0.225147,0,0,0,0,0
shift_1,19,1,0.0186497,0.0299946,0,0,0.0202392,1.83677,0,8
shift_1,20,1,0.0679481,0.0299947,0,0,0.0491527,3.86027,1,8
shift_1,21,1,0,0.0299946,0.0109895,0,0.0475574,5.08991,2,8
shift_1,22,1,0,0.0299946,0,0,0.0181445,1.71291,0,7
shift_1,23,1,0,0.0299946,0,0,0.0159416,1.68539,0,7
shift_1,24,1,0,0.0299946,0,0,0,0.944895,0,5
shift_1,25,1,0,0.0299946,0,0,0,0,0,0
shift_1,26,1,0,0.0299946,0,0,0,0.837705,0,5
shift_1,27,1,0.000119064,0.0299945,0,0,0.0379591,5.12321,2,8
shift_1,28,1,0,0.0299946,0,0,0.00635376,1.23683,0,6
shift_1,29,1,0.0854987,0.0299945,0.0159347,0,0.0520888,1.95223,0,8
shift_1,30,2,0.132874,0.0300075,0,0,0.0411204,3.36834,1,8
shift_1,31,2,0.231938,0.029994,0,0,0.0420745,5.42932,2,8
shift_1,32,2,0.100187,0.0299944,0,0,0.0395218,1.51508,0,6
shift_1,33,2,0,0.0299976,0,0,0.000458227,0.600933,0,4
shift_1,34,2,0,0.0299949,0,0,0,0.794563,0,4
shift_1,35,2,0,0.0299946,0,0,0,1.22082,0,5
shift_1,36,2,0.0184676,0.0299947,0,0,0.028571,2.60673,0,7
shift_1,37,2,0.0742441,0.0299949,0,0,0.0475021,1.92797,0,7
shift_1,38,2,0.0203064,0.0299947,0,0,0.0083225,1.2737,0,5
shift_1,39,2,0,0.0299951,0,0,0.0159106,1.34207,0,6
shift_1,40,3,0,0.0299882,0,0,0.0122399,4.00774,2,5
shift_1,41,3,0.327879,0.0300153,0,0,0.0119599,3.98326,1,5
shift_1,42,3,0.104537,0.0300166,0,0,6.37891e-05,1.60188,0,6
shift_1,43,3,0.186185,0.0299938,0,0,0.0115341,2.65883,1,5
shift_1,44,3,0,0.0299951,0,0,0.000860174,0.824207,0,4
shift_1,45,3,0.2146,0.0300667,0,0,0.0105461,4.16145,2,4
shift_2,0,0,0,0.0300567,0,0,0.0182686,2.07494,0,8
shift_2,1,0,0,0.0300567,0,0,0.0148692,2.10977,0,8
shift_2,2,0,0,0.0300567,0,0,0,0,0,0
shift_2,3,0,0,0.0300567,0.18823,0,0.013545,2.01943,0,8
shift_2,4,0,0,0.0300567,0,0,0.0265439,2.09917,0,8
shift_2,5,0,0.00195964,0.0300567,0.1879,0,0.0287826,2.02397,0,8
shift_2,6,0,0,0.0300567,0,0,0.00888571,1.98188,0,8
shift_2,7,0,0,0.0300567,0,0,0.0181272,2.16574,0,8
shift_2,8,0,0,0.0300567,0,0,0.0148978,1.75095,0,8
shift_2,9,0,0,0.0300567,0,0,0.0381527,2.37954,0,8
shift_2,10,0,0,0.0300567,0,0,0.0239169,2.01104,0,8
shift_2,11,0,0,0.0300567,0,0,0,0,0,0
shift_2,12,0,0,0.0300567,0,0,0.019253,2.29237,0,8
shift_2,13,0,0.0977287,0.0300567,0.0189348,0,0.0616365,2.30352,0,8
shift_2,14,0,0,0.0300567,0,0,0,0.0995759,0,0
shift_2,15,0,0.0527533,0.0300567,0,0,0.0448192,4.62113,2,8
shift_2,16,1,0,0.0300567,0,0,0.00131432,1.50644,0,7
shift_2,17,1,0,0.0300567,0.0540947,0,0,0,0,0
shift_2,18,1,0.22467,0.0300567,0,0,0.0111841,4.90693,2,8
shift_2,19,1,0,0.0300567,0,0,0.00369755,1.08025,0,7
shift_2,20,1,0,0.0300567,0,0,0.0125069,1.72068,0,8
shift_2,21,1,0,0.0300566,0,0,0.0160912,1.94272,0,8
shift_2,22,1,0,0.0300567,0,0,0,0,0,0
shift_2,23,1,0,0.0300567,0.1878,0,0.0376025,2.30737,0,8
shift_2,24,1,0,0.0300567,0,0,0.00521813,1.4509,0,7
shift_2,25,1,0,0.0300567,0,0,0.013287,1.57144,0,7
shift_2,26,1,0,0.0300567,0,0,0.0236518,2.98989,0,8
shift_2,27,1,0,0.0300567,0,0,0.00673113,1.67515,0,7
shift_2,28,1,0.072347,0.0300566,0,0,0.035027,4.53093,2,8
shift_2,29,1,0.135834,0.0300567,0,0,0.0460298,6.11667,3,8
shift_2,30,2,0.249228,0.0300667,0,0,0.0115561,3.95626,2,7
shift_2,31,2,0,0.0300572,0,0,0.0015217,1.37088,0,6
shift_2,32,2,0,0.030058,0,0,0.0143898,2.96979,1,7
shift_2,33,2,0.0958679,0.0300643,0,0,0.0318988,4.58438,2,8
shift_2,34,2,0,0.0300567,0,0,0,0,0,0
shift_2,35,2,0,0.0300628,0,0,0.0111744,2.37195,1,6
shift_2,36,2,0,0.0300566,0,0,0.0111551,1.73514,0,7
shift_2,37,2,0.0375408,0.0315944,0,0,0.0117597,4.65424,2,8
shift_2,38,2,0,0.0300569,0,0,0.00731752,3.36464,1,7
