network,net_id,method,n_candidates,sim_seconds,sim_ms_per_candidate,method_seconds,speedup_vs_simulator,score_std,score_range,distinct_scores,is_constant,n_nonzero_true,spearman_full,recall@5,true_set_size@5,precision@5,jaccard@5,kendall_union@5,regret@5,regret_frac@5,oracle_averted@5,recall@10,true_set_size@10,precision@10,jaccard@10,kendall_union@10,regret@10,regret_frac@10,oracle_averted@10,recall@20,true_set_size@20,precision@20,jaccard@20,kendall_union@20,regret@20,regret_frac@20,oracle_averted@20
shift_0,12,surrogate,46,1.4054,30.5523,0.308115,4.56129,6.71692e-06,5.41843e-05,25,False,27,0.390229,0.2,5,0.8,0.111111,-0.277778,1.3718,0.561587,2.44272,0.6,10,0.9,0.428571,-0.164835,0.773947,0.205108,3.77337,0.6,20,0.7,0.428571,0.150427,1.41213,0.26878,5.25384
shift_0,12,tabular_gbt,46,1.4054,30.5523,0.0018871,744.743,0,0,1,True,27,,0,5,0.2,0,,2.40056,0.982744,2.44272,0,10,0.4,0,,3.59557,0.95288,3.77337,0.25,20,0.5,0.142857,,4.09848,0.780091,5.25384
shift_0,12,tabular_ridge,46,1.4054,30.5523,0.0005101,2755.15,0.0116017,0.0628543,40,False,27,0.383852,0,5,0.6,0,-0.494413,2.11852,0.867282,2.44272,0.2,10,0.7,0.111111,-0.541281,2.79188,0.739891,3.77337,0.5,20,0.75,0.333333,-0.262808,2.61944,0.498577,5.25384
shift_0,12,topology_heuristic,46,1.4054,30.5523,0.0020565,683.396,1.29923,5.17719,41,False,27,0.493093,0.4,5,1,0.25,-0.0714286,0.757572,0.310135,2.44272,0.3,10,0.8,0.176471,-0.199263,1.55529,0.412175,3.77337,0.6,20,0.8,0.428571,0.0053335,1.56516,0.297907,5.25384
shift_1,13,surrogate,46,1.41118,30.6779,0.44686,3.15799,1.14298e-05,7.85291e-05,28,False,17,0.188454,0.4,5,0.8,0.25,-0.0714286,0.579147,0.426145,1.35904,0.5,10,0.6,0.333333,-0.10789,0.981937,0.528953,1.85638,0.588235,17,0.5,0.481481,-0.00928717,0.707809,0.339355,2.08575
shift_1,13,tabular_gbt,46,1.41118,30.6779,0.0021885,644.817,0,0,1,True,17,,0,5,0,0,,1.35904,1,1.35904,0,10,0.1,0,,1.78352,0.960751,1.85638,0.176471,17,0.2,0.212121,,1.56478,0.750226,2.08575
shift_1,13,tabular_ridge,46,1.41118,30.6779,0.0005566,2535.36,0.0240404,0.0832298,38,False,17,0.310933,0.2,5,0.6,0.111111,-0.366234,0.85672,0.630388,1.35904,0.2,10,0.5,0.111111,-0.425919,1.20061,0.646751,1.85638,0.588235,17,0.55,0.37931,-0.0754555,0.872157,0.41815,2.08575
shift_1,13,topology_heuristic,46,1.41118,30.6779,0.0022625,623.727,1.48972,5.96403,43,False,17,0.492281,0.4,5,0.6,0.25,0.109109,0.728545,0.536074,1.35904,0.5,10,0.7,0.333333,0.0386514,0.482584,0.25996,1.85638,0.647059,17,0.55,0.37931,0.193789,0.403422,0.193418,2.08575
shift_2,14,surrogate,46,1.74768,37.993,0.580797,3.0091,0.000224866,0.00154149,26,False,10,0.209385,0.4,5,0.8,0.25,0,0.324824,0.334481,0.971128,0.4,10,0.4,0.25,-0.0360888,0.585293,0.475231,1.2316,0.4,10,0.25,0.290323,0.057299,0.360622,0.292809,1.2316
shift_2,14,tabular_gbt,46,1.74768,37.993,0.0100243,174.344,0,0,1,True,10,,0,5,0,0,,0.971128,1,0.971128,0.1,10,0.1,0.0526316,,1.22964,0.998409,1.2316,0.1,10,0.2,0.538462,,0.854485,0.693802,1.2316
