network,node_a,node_b,rank_a_feature,rank_b_feature,rank_a_counterfactual,rank_b_counterfactual,truth_a,truth_b,winner,margin,explanation
shift_0,1,43,2,44,21,1,0,0.692517,counterfactual,0.692517,"node 1: tier 0, 0 customers, reaches 0 demand points (0 sole-sourced), throughput 0.0, capacity slack nan | node 43: tier 3, 5 customers, reaches 5 demand points (1 sole-sourced), throughput 30.4, capacity slack 0.13"
shift_0,2,43,3,44,22,1,0,0.692517,counterfactual,0.692517,"node 2: tier 0, 5 customers, reaches 8 demand points (0 sole-sourced), throughput 175.8, capacity slack 0.38 | node 43: tier 3, 5 customers, reaches 5 demand points (1 sole-sourced), throughput 30.4, capacity slack 0.13"
shift_0,3,43,4,44,23,1,0,0.692517,counterfactual,0.692517,"node 3: tier 0, 1 customers, reaches 8 demand points (0 sole-sourced), throughput 38.4, capacity slack 0.16 | node 43: tier 3, 5 customers, reaches 5 demand points (1 sole-sourced), throughput 30.4, capacity slack 0.13"
shift_0,4,43,5,44,24,1,0,0.692517,counterfactual,0.692517,"node 4: tier 0, 2 customers, reaches 8 demand points (0 sole-sourced), throughput 28.4, capacity slack 0.25 | node 43: tier 3, 5 customers, reaches 5 demand points (1 sole-sourced), throughput 30.4, capacity slack 0.13"
shift_0,5,43,6,44,25,1,0,0.692517,counterfactual,0.692517,"node 5: tier 0, 3 customers, reaches 8 demand points (0 sole-sourced), throughput 113.1, capacity slack 0.32 | node 43: tier 3, 5 customers, reaches 5 demand points (1 sole-sourced), throughput 30.4, capacity slack 0.13"
shift_0,9,43,10,44,29,1,0,0.692517,counterfactual,0.692517,"node 9: tier 0, 4 customers, reaches 8 demand points (0 sole-sourced), throughput 191.1, capacity slack 0.30 | node 43: tier 3, 5 customers, reaches 5 demand points (1 sole-sourced), throughput 30.4, capacity slack 0.13"
shift_1,0,41,1,42,17,3,0,0.327879,counterfactual,0.327879,"node 0: tier 0, 2 customers, reaches 8 demand points (0 sole-sourced), throughput 74.7, capacity slack 0.24 | node 41: tier 3, 5 customers, reaches 5 demand points (1 sole-sourced), throughput 37.2, capacity slack 0.33"
shift_1,1,41,2,42,18,3,0,0.327879,counterfactual,0.327879,"node 1: tier 0, 1 customers, reaches 7 demand points (0 sole-sourced), throughput 28.0, capacity slack 0.38 | node 41: tier 3, 5 customers, reaches 5 demand points (1 sole-sourced), throughput 37.2, capacity slack 0.33"
shift_1,2,41,3,42,19,3,0,0.327879,counterfactual,0.327879,"node 2: tier 0, 0 customers, reaches 0 demand points (0 sole-sourced), throughput 0.0, capacity slack nan | node 41: tier 3, 5 customers, reaches 5 demand points (1 sole-sourced), throughput 37.2, capacity slack 0.33"
shift_1,3,41,4,42,20,3,0,0.327879,counterfactual,0.327879,"node 3: tier 0, 2 customers, reaches 8 demand points (0 sole-sourced), throughput 173.9, capacity slack 0.20 | node 41: tier 3, 5 customers, reaches 5 demand points (1 sole-sourced), throughput 37.2, capacity slack 0.33"
