component,variant,network,n_nodes,n_edges,n_candidates,median_ms,iqr_ms,per_item_ms,n_warmup,n_repeats,params
simulator,shift_topo,shift_0,54,141,46,52.0345,4.4627,52.0345,8,25,
simulator,shift_topo,shift_1,54,133,46,48.6222,7.0645,48.6222,8,25,
simulator,shift_size,large_0,108,294,92,113.578,8.7219,113.578,8,25,
simulator,shift_size,large_1,108,278,92,103.356,11.2037,103.356,8,25,
surrogate_single,shift_topo,shift_0,54,141,46,22.4375,4.8199,22.4375,8,25,55752
surrogate_batched_all_candidates,shift_topo,shift_0,54,141,46,181.645,10.4023,3.94881,8,25,55752
surrogate_single,shift_topo,shift_1,54,133,46,33.2776,6.9782,33.2776,8,25,55752
surrogate_batched_all_candidates,shift_topo,shift_1,54,133,46,224.155,30.2847,4.87294,8,25,55752
surrogate_single,shift_size,large_0,108,294,92,52.5601,21.1181,52.5601,8,25,55752
surrogate_batched_all_candidates,shift_size,large_0,108,294,92,504.971,64.4275,5.48882,8,25,55752
surrogate_single,shift_size,large_1,108,278,92,51.0653,39.6504,51.0653,8,25,55752
surrogate_batched_all_candidates,shift_size,large_1,108,278,92,674.816,146.157,7.33496,8,25,55752
