method,test_id_mae,shift_topo_mae,shift_size_mae,shift_type_mae,shift_multi_mae,shift_topo_gap,shift_size_gap,shift_type_gap,shift_multi_gap,test_id_spearman,shift_topo_spearman,shift_size_spearman,shift_type_spearman,shift_multi_spearman
surrogate_ensemble,0.015338,0.0176474,0.018639,0.0102747,0.0356325,0.00230948,0.00330101,-0.0050633,0.0202945,0.353643,0.409589,0.392533,0.31623,0.516256
surrogate_single,0.0145807,0.0172424,0.0182879,0.00976393,0.0342917,0.00266161,0.00370719,-0.00481682,0.019711,0.356667,0.419134,0.387866,0.330906,0.535149
mlp_no_message_passing,0.0173969,0.0189585,0.0196313,0.0108999,0.0402056,0.00156155,0.00223435,-0.00649698,0.0228087,0.267088,0.322499,0.284243,0.305818,0.389071
tabular_gbt,0.0104183,0.0168435,0.0163557,0.00734138,0.032162,0.0064252,0.00593741,-0.00307691,0.0217437,0.411506,0.428787,0.412084,0.192585,0.449619
tabular_gbt_l1,0.0122456,0.0141614,0.0148509,0.00569081,0.0360202,0.00191581,0.00260537,-0.00655474,0.0237746,,,,,
tabular_ridge,0.0246102,0.0242583,0.0147822,0.0368199,0.0410624,-0.000351914,-0.00982796,0.0122097,0.0164523,0.352649,0.380322,0.438598,0.307182,0.43002
retrieval_knn,0.0105525,0.0179149,0.0177306,0.00895061,0.0337114,0.00736237,0.00717808,-0.00160192,0.0231589,0.507792,0.446496,0.406016,0.309702,0.422484
topology_heuristic,0.0239941,0.0259273,0.0249443,0.00668817,0.0433777,0.00193322,0.000950248,-0.0173059,0.0193837,0.232067,0.235619,0.319224,0.277327,0.0751408
constant_zero,0.0122456,0.0141614,0.0148509,0.00569081,0.0360202,0.00191581,0.00260537,-0.00655474,0.0237746,,,,,
constant_train_mean,0.0236348,0.0248235,0.0258712,0.0170678,0.0449517,0.0011887,0.00223642,-0.00656702,0.0213169,,,,,
