split,method,mae,mae_nonzero_truth,n_nonzero_truth,rmse,bias,r2,spearman_pooled,kendall_pooled,n,spearman_within_scenario,spearman_groups,top1_agreement,top1_groups,n_unique_predictions,pred_range,degenerate,traj_mae,traj_rmse,traj_rows,traj_active_rows,traj_mae_active,peak_period_error,traj_total_rel_error,time_to_impact_mae,time_to_impact_n,time_to_impact_spearman,recovery_time_mae,recovery_time_n,recovery_time_spearman
train,surrogate_ensemble,0.0163583,0.158817,628,0.055345,-0.00364985,0.258385,0.369637,0.299436,9600,0.598525,340,0.602941,340,5722,0.231882,False,0.00376295,0.0164989,9600,22,0.151852,6.90909,0.858999,4.94568,627,0.634813,2.70133,410,0.431836
train,surrogate_single,0.015797,0.152904,628,0.0539074,-0.00310934,0.296412,0.369446,0.299326,9600,0.605982,340,0.629412,340,4843,0.25629,False,,,,,,,,,,,,,
train,mlp_no_message_passing,0.0177239,0.188973,628,0.0643472,-0.00697078,-0.00249206,0.293352,0.238056,9600,0.433071,340,0.364706,340,627,0.0082783,False,,,,,,,,,,,,,
train,tabular_gbt,0.0073145,0.0609592,628,0.0250238,0.00126797,0.84839,0.443754,0.394075,9600,0.687311,340,0.782353,340,4610,0.673919,False,,,,,,,,,,,,,
train,tabular_gbt_l1,0.0127829,0.195408,628,0.0655261,-0.0127829,-0.0395625,,,9600,,0,0.111765,340,1,0,True,,,,,,,,,,,,,
train,tabular_ridge,0.0234356,0.148206,628,0.0567646,0.00505536,0.219851,0.381307,0.326051,9600,0.517481,340,0.423529,340,5855,0.200796,False,,,,,,,,,,,,,
train,retrieval_knn,6.18536e-05,0.000586112,628,0.000366587,-2.55388e-06,0.999967,0.61597,0.595522,9600,0.768044,340,0.997059,340,1898,0.795308,False,,,,,,,,,,,,,
train,topology_heuristic,0.0236392,0.171719,628,0.062229,0.00151951,0.0624227,0.25641,0.209792,9600,0.275067,54,0.114706,340,373,0.0554135,False,,,,,,,,,,,,,
train,constant_zero,0.0127829,0.195408,628,0.0655261,-0.0127829,-0.0395625,,,9600,,0,0.111765,340,1,0,True,,,,,,,,,,,,,
train,constant_train_mean,0.0239943,0.184167,628,0.0642672,-2.59052e-18,0,,,9600,,0,0.111765,340,1,0,True,,,,,,,,,,,,,
val,surrogate_ensemble,0.0178907,0.174418,108,0.0612829,-0.00558866,0.273987,0.372727,0.302261,1536,0.614192,59,0.576271,59,1157,0.230581,False,0.00392295,0.0217571,1536,5,0.161495,6.4,0.806265,5.23477,108,0.682994,3.02923,73,0.365094
