seed,split,metric,value,train_seconds
0,test_id,mae,0.0146065,195.25
0,test_id,rmse,0.0535414,195.25
0,test_id,spearman_pooled,0.356051,195.25
0,test_id,spearman_within_scenario,0.581959,195.25
0,test_id,top1_agreement,0.5625,195.25
0,shift_topo,mae,0.0172152,195.25
0,shift_topo,rmse,0.0561935,195.25
0,shift_topo,spearman_pooled,0.418171,195.25
0,shift_topo,spearman_within_scenario,0.660412,195.25
0,shift_topo,top1_agreement,0.7375,195.25
0,shift_size,mae,0.0182275,195.25
0,shift_size,rmse,0.0625234,195.25
0,shift_size,spearman_pooled,0.388677,195.25
0,shift_size,spearman_within_scenario,0.513417,195.25
0,shift_size,top1_agreement,0.271429,195.25
0,shift_type,mae,0.00972279,195.25
0,shift_type,rmse,0.0401373,195.25
0,shift_type,spearman_pooled,0.330882,195.25
0,shift_type,spearman_within_scenario,0.526915,195.25
0,shift_type,top1_agreement,0.642857,195.25
0,shift_multi,mae,0.0343998,195.25
0,shift_multi,rmse,0.0961536,195.25
0,shift_multi,spearman_pooled,0.534559,195.25
0,shift_multi,spearman_within_scenario,0.653595,195.25
0,shift_multi,top1_agreement,0.650794,195.25
7,test_id,mae,0.0150924,169.69
7,test_id,rmse,0.0588416,169.69
7,test_id,spearman_pooled,0.357139,169.69
7,test_id,spearman_within_scenario,0.609678,169.69
7,test_id,top1_agreement,0.604167,169.69
7,shift_topo,mae,0.0173742,169.69
7,shift_topo,rmse,0.0583417,169.69
7,shift_topo,spearman_pooled,0.400083,169.69
7,shift_topo,spearman_within_scenario,0.639175,169.69
7,shift_topo,top1_agreement,0.6625,169.69
7,shift_size,mae,0.0179968,169.69
7,shift_size,rmse,0.0646472,169.69
7,shift_size,spearman_pooled,0.390528,169.69
7,shift_size,spearman_within_scenario,0.493824,169.69
7,shift_size,top1_agreement,0.357143,169.69
7,shift_type,mae,0.00965073,169.69
7,shift_type,rmse,0.0404202,169.69
7,shift_type,spearman_pooled,0.351494,169.69
7,shift_type,spearman_within_scenario,0.546939,169.69
7,shift_type,top1_agreement,0.72619,169.69
7,shift_multi,mae,0.0366358,169.69
7,shift_multi,rmse,0.101537,169.69
7,shift_multi,spearman_pooled,0.486216,169.69
7,shift_multi,spearman_within_scenario,0.624692,169.69
7,shift_multi,top1_agreement,0.68254,169.69
1337,test_id,mae,0.0155751,158.968
1337,test_id,rmse,0.0631082,158.968
1337,test_id,spearman_pooled,0.353299,158.968
1337,test_id,spearman_within_scenario,0.54911,158.968
1337,test_id,top1_agreement,0.416667,158.968
1337,shift_topo,mae,0.0179191,158.968
1337,shift_topo,rmse,0.0612062,158.968
1337,shift_topo,spearman_pooled,0.397436,158.968
1337,shift_topo,spearman_within_scenario,0.614367,158.968
1337,shift_topo,top1_agreement,0.7125,158.968
1337,shift_size,mae,0.0180507,158.968
1337,shift_size,rmse,0.0675988,158.968
1337,shift_size,spearman_pooled,0.381216,158.968
1337,shift_size,spearman_within_scenario,0.483864,158.968
1337,shift_size,top1_agreement,0.3,158.968
1337,shift_type,mae,0.0102177,158.968
1337,shift_type,rmse,0.0405854,158.968
1337,shift_type,spearman_pooled,0.311604,158.968
1337,shift_type,spearman_within_scenario,0.513029,158.968
1337,shift_type,top1_agreement,0.702381,158.968
1337,shift_multi,mae,0.037938,158.968
1337,shift_multi,rmse,0.107894,158.968
1337,shift_multi,spearman_pooled,0.491002,158.968
1337,shift_multi,spearman_within_scenario,0.576266,158.968
1337,shift_multi,top1_agreement,0.666667,158.968
