split,metric,n_seeds,mean,sd,min,max,spread,diff_noise_scale
shift_multi,mae,3,0.0363245,0.00179315,0.0343939,0.0379378,0.00354392,0.0025359
shift_multi,mae_nonzero_truth,3,0.191682,0.0137712,0.177933,0.205475,0.0275423,0.0194754
shift_multi,rmse,3,0.101872,0.00589437,0.0961128,0.107893,0.01178,0.0083359
shift_multi,spearman_pooled,3,0.50391,0.0266319,0.486128,0.534529,0.0484011,0.0376633
shift_multi,spearman_within_scenario,3,0.618184,0.039073,0.576266,0.653595,0.0773288,0.0552576
shift_multi,top1_agreement,3,0.666667,0.015873,0.650794,0.68254,0.031746,0.0224478
shift_size,mae,3,0.0180903,0.00012395,0.0179908,0.0182292,0.00023837,0.000175292
shift_size,mae_nonzero_truth,3,0.171235,0.0106754,0.160574,0.181925,0.0213507,0.0150973
shift_size,rmse,3,0.0649354,0.00254898,0.0625184,0.0675985,0.00508011,0.00360481
shift_size,spearman_pooled,3,0.386586,0.00480721,0.381162,0.390321,0.00915911,0.00679842
shift_size,spearman_within_scenario,3,0.496703,0.0145454,0.483864,0.5125,0.028636,0.0205703
shift_size,top1_agreement,3,0.309524,0.0436436,0.271429,0.357143,0.0857143,0.0617213
shift_topo,mae,3,0.0175023,0.000368573,0.0172154,0.017918,0.000702549,0.000521241
shift_topo,mae_nonzero_truth,3,0.138146,0.00674396,0.131086,0.144522,0.0134359,0.00953739
shift_topo,rmse,3,0.0585929,0.00251391,0.0561901,0.0612049,0.00501475,0.00355521
shift_topo,spearman_pooled,3,0.405309,0.0114259,0.397436,0.418414,0.0209783,0.0161587
shift_topo,spearman_within_scenario,3,0.638802,0.0242507,0.614367,0.662864,0.0484972,0.0342957
shift_topo,top1_agreement,3,0.7125,0.05,0.6625,0.7625,0.1,0.0707107
shift_type,mae,3,0.00986379,0.000308295,0.00965042,0.0102173,0.000566836,0.000435995
shift_type,mae_nonzero_truth,3,0.0820908,0.000786498,0.0812174,0.0827431,0.00152563,0.00111228
shift_type,rmse,3,0.0403812,0.000226129,0.0401376,0.0405844,0.000446808,0.000319795
shift_type,spearman_pooled,3,0.331181,0.0196918,0.311642,0.351022,0.0393802,0.0278485
shift_type,spearman_within_scenario,3,0.528961,0.0170474,0.513029,0.546939,0.0339101,0.0241086
shift_type,top1_agreement,3,0.690476,0.0429232,0.642857,0.72619,0.0833333,0.0607026
test_id,mae,3,0.0150917,0.000484904,0.0146055,0.0155753,0.000969798,0.000685758
test_id,mae_nonzero_truth,3,0.174565,0.0153428,0.158488,0.189049,0.0305613,0.0216981
test_id,rmse,3,0.0584992,0.00481513,0.0535008,0.0631073,0.00960649,0.00680962
test_id,spearman_pooled,3,0.355503,0.00201361,0.35328,0.357204,0.00392407,0.00284768
test_id,spearman_within_scenario,3,0.580249,0.0303201,0.54911,0.609678,0.0605679,0.0428791
test_id,top1_agreement,3,0.527778,0.0984545,0.416667,0.604167,0.1875,0.139236
